PropertyName,PropertyAddress,City,State,Zip,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,TargetTenantType,S8_1_ProgramName,LIHTC_1_ProgramName
MERIT HALL APARTMENTS,1035 Lewis Ave,Long Beach,CA,90813-3682,Los Angeles,6037,6037576401,47,33.7798,-118.17985,Disabled,PRAC/811,
DEL AMO GARDENS,225 W Del Amo Blvd,Long Beach,CA,90745,Los Angeles,6037,6037543501,44,33.826,-118.2694,Elderly,Preservation,
AMERICAN GOLD STAR MANOR,3021 N Gold Star Dr,Long Beach,CA,90810-2708,Los Angeles,6037,6037572500,47,33.814303,-118.217892,Elderly or disabled,,4% Tax Credit
PARK PACIFIC TOWER,714 Pacific Ave,Long Beach,CA,90813-4234,Los Angeles,6037,6037575803,47,33.775673,-118.193323,Elderly,LMSA,
SEAMIST TOWER,1451 Atlantic Ave,Long Beach,CA,90813-2076,Los Angeles,6037,6037575300,47,33.784667,-118.185159,Elderly,202/8 NC,4% Tax Credit
LONG BEACH MANOR,2209 Clark Ave,Long Beach,CA,90815-2522,Los Angeles,6037,6037574202,47,33.796523,-118.134524,Disabled,PRAC/811,
BELMENO MANOR,2441 Belmont Ave,Long Beach,CA,90815-1704,Los Angeles,6037,6037574202,47,33.801826,-118.144632,Disabled,PRAC/811,
SCHERER PARK APARTMENTS,4676 Long Beach Blvd,Long Beach,CA,90805-6961,Los Angeles,6037,6037571502,47,33.842607,-118.191831,Elderly,Sec 8 NC,
BEACHWOOD APARTMENTS,505 W 6th St,Long Beach,CA,90802-1109,Los Angeles,6037,6037575901,47,33.77443,-118.19842,Disabled,202/8 NC,4% Tax Credit
PACIFIC COAST VILLA,690 E Pacific Coast Hwy,Long Beach,CA,90806-5520,Los Angeles,6037,6037573202,47,33.78976,-118.18364,Family,Sec 8 NC,
CASA CORAZON,408 Elm Ave,Long Beach,CA,90802-2428,Los Angeles,6037,6037576200,47,33.77202,-118.18741,Disabled,PRAC/811,
CASITAS DEL MAR II,1030 Olive Ave,Long Beach,CA,90813-3519,Los Angeles,6037,6037576302,47,33.779558,-118.182538,Family,Sec 8 NC,
NORTHPOINTE APARTMENTS II,5441 N Paramount Blvd,Long Beach,CA,90805-5128,Los Angeles,6037,6037570603,44,33.85544,-118.161,Family,Preservation,4% Tax Credit
FEDERATION TOWER,3801 E Willow St,Long Beach,CA,90815-1734,Los Angeles,6037,6037574202,47,33.805296,-118.14821,Elderly,202/8 NC,
LUTHERAN TOWERS,2340 E 4th St,Long Beach,CA,90814-1173,Los Angeles,6037,6037576801,47,33.771422,-118.163447,Elderly,202/8 NC,
CASITAS DEL MAR I,1324 E Hellman St,Long Beach,CA,90813-4981,Los Angeles,6037,6037576402,47,33.7762,-118.17472,Family,Sec 8 NC,
PLYMOUTH WEST,240 Chestnut Ave,Long Beach,CA,90802-2949,Los Angeles,6037,6037575902,47,33.77011,-118.19596,Elderly,LMSA,4% Tax Credit
NEW HOPE HOME,1150 E New York St,Long Beach,CA,90813-2217,Los Angeles,6037,6037575201,47,33.78437,-118.1784,Elderly,LMSA,4% Tax Credit
COVENANT MANOR,600 E 4th St,Long Beach,CA,90802-2681,Los Angeles,6037,6037576200,47,33.77161,-118.18501,Elderly,202/8 NC,4% Tax Credit
PROVIDENCE GARDENS,1011 Pine Ave,Long Beach,CA,90813-3149,Los Angeles,6037,6037575803,47,33.77948,-118.19301,Elderly,LMSA,4% Tax Credit
CASITAS DEL MAR III,1430 E 17th St,Long Beach,CA,90813-2312,Los Angeles,6037,6037575201,47,33.78789,-118.21132,Family,Sec 8 NC,
ST MARY'S TOWER,1120 Atlantic Ave,Long Beach,CA,90813-3378,Los Angeles,6037,6037576302,47,33.78091,-118.18493,Elderly,202/8 NC,
LONG BEACH SENIOR HOUSING,575 E Vernon St,Long Beach,CA,90806-3180,Los Angeles,6037,6037573201,47,33.80375,-118.18557,Elderly,PRAC/202,
CITYVIEW APARTMENTS (FKA BRETHREN MANOR),3333 Pacific Pl,Long Beach,CA,90806-1259,Los Angeles,6037,6037572201,47,33.81768,-118.19522,Elderly,,4% Tax Credit
BEECHWOOD TERRACE,1117 Elm Ave,Long Beach,CA,90813-3299,Los Angeles,6037,6037576301,47,33.78145,-118.18836,Family,,9% Tax Credit
PACIFIC COURT APARTMENTS,250 Pacific Ave,Long Beach,CA,90802-3000,Los Angeles,6037,6037575902,47,33.7699,-118.19312,Family,,4% Tax Credit
CAMBRIDGE PLACE,421 W 33rd St,Long Beach,CA,90806-7386,Los Angeles,6037,6037572201,47,33.81731,-118.19651,Family,,9% Tax Credit
SEA GATE VILLAGE,1450 Locust Ave,Long Beach,CA,90813-5626,Los Angeles,6037,6037575402,47,33.7844,-118.19071,Elderly or disabled,,9% Tax Credit
VILLAGES AT CABRILLO,2001 River Ave,Long Beach,CA,90810-3622,Los Angeles,6037,6037572800,47,33.79161,-118.22227,Family,,9% Tax Credit
SPRINGDALE WEST APARTMENTS I & II,3120 N Springdale Dr,Long Beach,CA,90810-2696,Los Angeles,6037,6037572500,47,33.815111,-118.218579,Family,LMSA,4% Tax Credit
FAMILY COMMONS AT CABRILLO,2111 W Williams St,Long Beach,CA,90810-3627,Los Angeles,6037,6037572800,47,33.79299,-118.22128,Family,,9% Tax Credit
GRISHAM COMMUNITY HOUSING,11 W 49th St,Long Beach,CA,90805-7704,Los Angeles,6037,6037571701,44,33.84505,-118.19458,Family,,4% Tax Credit
DECRO LONG BEACH,745 Alamitos Ave,Long Beach,CA,90813-4700,Los Angeles,6037,6037576401,47,33.77604,-118.18029,Family,,4% Tax Credit
PACIFIC CITY LIGHTS,1643 Pacific Ave,Long Beach,CA,90813-6703,Los Angeles,6037,6037575401,47,33.78752,-118.19379,Family,,9% Tax Credit
EVERGREEN APARTMENTS,1528 Freeman Ave,Long Beach,CA,90804-1774,Los Angeles,6037,6037575103,47,33.78648,-118.15557,Family,,4% Tax Credit
ELM AVENUE APARTMENTS,530 Elm Ave,Long Beach,CA,90802-2413,Los Angeles,6037,6037576200,47,33.77348,-118.18757,Disabled,,9% Tax Credit
PUERTO DEL SOL APARTMENTS,745 W 3rd St,Long Beach,CA,90802-2709,Los Angeles,6037,6037575901,47,33.77058,-118.20138,Family,,4% Tax Credit
LONG BEACH BURNETT APARTMENTS,2355 Long Beach Blvd,Long Beach,CA,90806-3289,Los Angeles,6037,6037573100,47,33.79996,-118.18945,Family,,9% Tax Credit
CASITAS DEL MAR IV,851 Martin Luther King Jr Ave,Long Beach,CA,90813-4733,Los Angeles,6037,6037576302,47,33.78121,-118.1883,Family,Sec 8 NC,
COURTYARDS IN LONG BEACH,1027 Redondo Ave,Long Beach,CA,90804,Los Angeles,6037,6037576903,47,33.77952,-118.15274,,,9% Tax Credit
LONG BEACH SENIOR ARTISTS COLONY,200 E Anaheim St,Long Beach,CA,90813-5432,Los Angeles,6037,6037576301,47,33.782501,-118.191078,Elderly or disabled,,4% Tax Credit
LONG BEACH & ANAHEIM,225 E 12th St,Long Beach,CA,90813-3190,Los Angeles,6037,6037576301,47,33.781732,-118.190299,Elderly or disabled,,9% Tax Credit
CABRILLO GATEWAY,2000 San Gabriel Ave,Long Beach,CA,90810-3601,Los Angeles,6037,6037572800,47,33.793001,-118.222902,Family,,9% Tax Credit
RAMONA PARK SENIOR,3290 E Artesia Blvd,Long Beach,CA,90805-7000,Los Angeles,6037,6037570204,44,33.874196,-118.154,Elderly or disabled,,4% Tax Credit
BELWOOD ARMS APARTMENTS,6301 Atlantic Ave,Long Beach,CA,90805-2974,Los Angeles,6037,6037570301,44,33.869159,-118.186223,,,4% Tax Credit
IMMANUEL PLACE (FKA IMMANUEL SENIOR HOUSING),3215 E 3rd St,Long Beach,CA,90814-2511,Los Angeles,6037,6037577100,47,33.768315,-118.154276,Elderly or disabled,,9% Tax Credit
BEACON PLACE,1201 Long Beach Blvd,Long Beach,CA,90813-3435,Los Angeles,6037,6037576301,47,33.781605,-118.189812,,,9% Tax Credit
HFL ASHTABULA HOMES,389 E Ashtabula St,Pasadena,CA,91104-4202,Los Angeles,6037,6037462001,27,34.1593,-118.142477,Family,PRAC/811,
CASA D'ORO II,1115 N Chester Ave,Pasadena,CA,91104-2946,Los Angeles,6037,6037462400,27,34.16592,-118.12453,Disabled,PRAC/811,
PASADENA ACCESSIBLE APARTMENTS,915 E Rio Grande St,Pasadena,CA,91104-2419,Los Angeles,6037,6037461400,27,34.17059,-118.13181,Disabled,PRAC/811,
WYNN HOUSE,1920 E Villa St,Pasadena,CA,91107-2333,Los Angeles,6037,6037462700,27,34.15428,-118.11103,Disabled,PRAC/811,
CASA D'ORO I,1370 N Dominion Ave,Pasadena,CA,91104-2708,Los Angeles,6037,6037461300,27,34.16998,-118.11413,Disabled,PRAC/811,
VILLA YUCATAN,2186 E Villa St,Pasadena,CA,91107-2415,Los Angeles,6037,6037462800,27,34.15429,-118.10547,Family,LMSA,
GREEN HOTEL,50 E Green St,Pasadena,CA,91105-2043,Los Angeles,6037,6037463602,27,34.14442,-118.14966,Elderly,LMSA,
THE GROVES,700 E Mountain St,Pasadena,CA,91104-4569,Los Angeles,6037,6037462100,27,34.16146,-118.13624,Family,LMSA,4% Tax Credit
MAGNOLIA TOWNHOMES,1172 N Raymond Ave,Pasadena,CA,91103-2665,Los Angeles,6037,6037462002,27,34.16591,-118.14898,Family,Sec 8 NC,
HUDSON GARDENS,1255 N Hudson Ave,Pasadena,CA,91104-2868,Los Angeles,6037,6037462100,27,34.16725,-118.13408,Elderly,HFDA/8 NC,
ALLEN HOUSE,1808 Las Lunas St,Pasadena,CA,91107-2303,Los Angeles,6037,6037462700,27,34.15625,-118.112928,Disabled,PRAC/811,
ROSEWOOD COURT,1888 N Fair Oaks Ave,Pasadena,CA,91103-1660,Los Angeles,6037,6037461502,27,34.17827,-118.15067,Elderly,PRAC/202,
WAGNER HOUSE,1894 Wagner St,Pasadena,CA,91107-2341,Los Angeles,6037,6037462700,27,34.15351,-118.1119,Disabled,PRAC/811,
VILLA APARTMENTS,2089 E Villa St,Pasadena,CA,91107-2434,Los Angeles,6037,6037462800,27,34.15447,-118.10718,Disabled,PRAC/811,
DUDLEY HOUSE,2131 E Dudley St,Pasadena,CA,91104-4122,Los Angeles,6037,6037462500,27,34.162746,-118.106497,Disabled,PRAC/811,
SIERRA ROSE,3057 E Del Mar Blvd,Pasadena,CA,91107,Los Angeles,6037,6037463200,27,34.14228,-118.08731,Disabled,PRAC/811,
WASHINGTON TOWNHOUSES,529 E Washington Blvd,Pasadena,CA,91104-2263,Los Angeles,6037,6037461501,27,34.16901,-118.13956,Family,LMSA,
NORTHWEST MANOR I,985 N Raymond Ave,Pasadena,CA,91103-2609,Los Angeles,6037,6037462002,27,34.16285,-118.14913,Family,LMSA,4% Tax Credit
CROWN HOUSE,3055 E Del Mar Blvd,Pasadena,CA,91107-4425,Los Angeles,6037,6037463200,27,34.14228,-118.08731,Disabled,202/8 NC,
LA PINTORESCA,1275 LA Pintoresca Dr,Pasadena,CA,91103-2276,Los Angeles,6037,6037462002,27,34.16754,-118.14998,Elderly,PD/8 SR,
PILGRIM TOWER NORTH,560 E Villa St,Pasadena,CA,91101-1158,Los Angeles,6037,6037462201,27,34.15381,-118.13917,Elderly,LMSA,4% Tax Credit
PILGRIM TOWER EAST,440 N Madison Ave,Pasadena,CA,91101-1433,Los Angeles,6037,6037462201,27,34.15355,-118.13836,Elderly,HFDA/8 NC,
SILVERCREST-PASADENA,975 E Union St,Pasadena,CA,91106-1710,Los Angeles,6037,6037462302,27,34.14812,-118.13009,Elderly,PRAC/202,
COMMUNITY ARMS APARTMENTS,169 E Orange Grove Blvd,Pasadena,CA,91103-3432,Los Angeles,6037,6037462002,27,34.15791,-118.14691,Elderly,LMSA,4% Tax Credit
TELACU COURTYARD,42 E Walnut St,Pasadena,CA,91103-3844,Los Angeles,6037,6037461902,27,34.149221,-118.149367,Elderly,PRAC/202,
VILLA RAYMOND,455 N Raymond Ave,Pasadena,CA,91103-3702,Los Angeles,6037,6037461901,27,34.15363,-118.14903,Family,LMSA,
PARKE LOS ROBLES,626 N Los Robles Ave,Pasadena,CA,91101-1006,Los Angeles,6037,6037462201,27,34.15664,-118.14142,Family,,9% Tax Credit
HOLLY STREET VILLAGE,151 E Holly St,Pasadena,CA,91103-3910,Los Angeles,6037,6037461902,27,34.14762,-118.14753,,,4% Tax Credit
VILLA LOS ROBLES,473 N Los Robles Ave,Pasadena,CA,91101-1357,Los Angeles,6037,6037461901,27,34.15393,-118.14156,Family,,9% Tax Credit
WASHINGTON VILLA APARTMENTS,264 E Washington Blvd,Pasadena,CA,91104-2195,Los Angeles,6037,6037462001,27,34.16879,-118.14527,Family,,9% Tax Credit
EUCLID VILLA TRANSITION HOUSING,154 S Euclid Ave,Pasadena,CA,91101-4666,Los Angeles,6037,6037463602,27,34.14278,-118.1428,Family,,9% Tax Credit
ORANGE GROVE GARDENS,252 E Orange Grove Blvd,Pasadena,CA,91104-5306,Los Angeles,6037,6037461901,27,34.15775,-118.1449,Family,,9% Tax Credit
KINGS VILLAGES,1141 N Fair Oaks Ave,Pasadena,CA,91103-2513,Los Angeles,6037,6037461600,27,34.165907,-118.152628,Family,PD/8 Existing,4% Tax Credit
HERITAGE SQUARE,762 N Fair Oaks Ave,Pasadena,CA,91103-3083,Los Angeles,6037,6037462002,27,34.15893,-118.150419,,,9% Tax Credit
